epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6831,2.3243,5.41688,2.32063,0.2111,0.17505,0.09574,0.04395,2.63304,8.51307,2.86946,0.000274744,0.000274744,0.000274744
2,134.175,2.19081,3.71453,2.24008,0.5252,0.08939,0.02435,0.01129,2.83377,4.35678,2.77395,0.000541473,0.000541473,0.000541473
3,201.813,2.22128,3.62927,2.26656,0.26314,0.00833,0.00869,0.00371,3.18096,4.92002,3.19044,0.000797206,0.000797206,0.000797206
4,267.98,2.13123,3.5039,2.24624,0.86277,0.0447,0.04925,0.02126,2.81481,4.03911,3.1498,0.00078352,0.00078352,0.00078352
5,332.939,2.13709,3.39929,2.17751,0.63677,0.12045,0.0855,0.04048,2.5244,3.80251,2.67674,0.000767026,0.000767026,0.000767026
6,398.211,2.05321,3.27527,2.14472,0.72286,0.15655,0.11107,0.05017,2.40735,4.15958,2.62747,0.000750533,0.000750533,0.000750533
7,464.475,2.03573,3.23729,2.1106,0.54998,0.17267,0.08762,0.04082,2.37571,3.92349,2.51124,0.00073404,0.00073404,0.00073404
8,529.978,1.93706,3.06539,2.05206,0.47268,0.13636,0.10899,0.05303,2.35145,3.7171,2.489,0.000717546,0.000717546,0.000717546
9,596.881,1.91653,2.99753,2.01157,0.58836,0.16916,0.13122,0.06903,2.31965,3.4054,2.47266,0.000701053,0.000701053,0.000701053
10,663.18,1.85591,2.90511,1.97219,0.72616,0.15379,0.09377,0.04586,2.19999,3.54604,2.40135,0.000684559,0.000684559,0.000684559
11,941.355,1.83731,2.8751,1.96771,0.71074,0.13333,0.12418,0.06293,2.22809,3.22167,2.46523,0.000668066,0.000668066,0.000668066
12,1286.47,1.78985,2.742,1.90128,0.38536,0.16209,0.14296,0.06781,2.29669,3.39474,2.4767,0.000651573,0.000651573,0.000651573
13,1631.74,1.74508,2.69485,1.8872,0.68742,0.16425,0.15839,0.0769,2.19548,3.36473,2.36283,0.000635079,0.000635079,0.000635079
14,1977.74,1.76448,2.69549,1.89374,0.57645,0.16077,0.09164,0.04956,2.20023,3.40993,2.37818,0.000618586,0.000618586,0.000618586
15,2322.95,1.74163,2.66223,1.87097,0.6368,0.13409,0.13674,0.05851,2.12005,3.22946,2.35336,0.000602092,0.000602092,0.000602092
16,2668.03,1.69428,2.51423,1.82758,0.07903,0.1805,0.10198,0.04848,2.26034,3.45732,2.41732,0.000585599,0.000585599,0.000585599
17,3013.24,1.68385,2.50733,1.82847,0.50174,0.19534,0.13852,0.07097,2.0811,3.36685,2.29192,0.000569106,0.000569106,0.000569106
18,3358.45,1.65195,2.41305,1.79475,0.24718,0.23404,0.14329,0.07177,2.18414,3.23427,2.39135,0.000552612,0.000552612,0.000552612
19,3703.49,1.60567,2.41435,1.78274,0.17582,0.24497,0.13291,0.06303,2.23932,3.36583,2.47302,0.000536119,0.000536119,0.000536119
20,4049.06,1.55292,2.26404,1.743,0.38704,0.26653,0.15725,0.08441,2.21644,3.13049,2.45879,0.000519625,0.000519625,0.000519625
21,4395.32,1.55811,2.31406,1.77309,0.30802,0.2335,0.14631,0.07666,2.18532,3.27903,2.39019,0.000503132,0.000503132,0.000503132
22,4740.5,1.49193,2.18167,1.69497,0.25158,0.31837,0.19229,0.10173,2.04389,3.15684,2.32594,0.000486639,0.000486639,0.000486639
23,5086.46,1.51308,2.15075,1.69956,0.15276,0.23434,0.16408,0.08309,2.07289,3.16838,2.33765,0.000470145,0.000470145,0.000470145
24,5431.62,1.49126,2.14006,1.70039,0.18431,0.26691,0.14941,0.07422,2.26259,3.25671,2.55447,0.000453652,0.000453652,0.000453652
25,5777.19,1.45463,2.07168,1.67406,0.25391,0.18725,0.15157,0.07472,2.25155,3.61887,2.45596,0.000437158,0.000437158,0.000437158
26,6122.5,1.43256,2.05517,1.64002,0.1789,0.29733,0.16241,0.08136,2.14673,3.30856,2.44233,0.000420665,0.000420665,0.000420665
27,6467.64,1.3926,1.93867,1.60957,0.18105,0.2252,0.13953,0.06422,2.30638,3.76069,2.58114,0.000404172,0.000404172,0.000404172
28,6812.77,1.36141,1.88433,1.59881,0.27094,0.18353,0.17161,0.09195,2.24532,3.27585,2.49948,0.000387678,0.000387678,0.000387678
29,7158.04,1.32205,1.81625,1.56348,0.17118,0.2569,0.16636,0.08499,2.2073,3.22027,2.53647,0.000371185,0.000371185,0.000371185
30,7503.64,1.29305,1.77985,1.53367,0.18116,0.25154,0.1479,0.08159,2.25726,3.48815,2.58755,0.000354691,0.000354691,0.000354691
31,7848.95,1.27051,1.73835,1.53607,0.28153,0.18929,0.1669,0.08452,2.23509,3.52195,2.551,0.000338198,0.000338198,0.000338198
32,8194.19,1.2696,1.72137,1.52943,0.21289,0.23553,0.1796,0.08863,2.25196,3.38604,2.5812,0.000321705,0.000321705,0.000321705
33,8539.5,1.22206,1.62312,1.49168,0.15921,0.24768,0.16321,0.08003,2.24762,3.36618,2.57041,0.000305211,0.000305211,0.000305211
34,8884.82,1.2142,1.66514,1.47884,0.19882,0.24354,0.16213,0.08137,2.1949,3.568,2.56953,0.000288718,0.000288718,0.000288718
35,9229.91,1.19159,1.55709,1.45687,0.36086,0.19279,0.18246,0.09027,2.10588,3.31104,2.46257,0.000272224,0.000272224,0.000272224
36,9575.03,1.17872,1.50894,1.44022,0.1905,0.24296,0.15732,0.07578,2.15451,3.64165,2.48329,0.000255731,0.000255731,0.000255731
37,9920.18,1.14565,1.49089,1.42576,0.17573,0.25034,0.17063,0.09006,2.21174,3.49919,2.53108,0.000239238,0.000239238,0.000239238
38,10265.3,1.08552,1.39651,1.40087,0.26564,0.16302,0.13355,0.07219,2.15115,3.64402,2.48287,0.000222744,0.000222744,0.000222744
39,10610.8,1.06933,1.37165,1.38567,0.13651,0.21349,0.12409,0.06029,2.2197,3.69368,2.58343,0.000206251,0.000206251,0.000206251
40,10956.3,1.04264,1.32651,1.36235,0.13772,0.22162,0.14136,0.07861,2.18098,3.60048,2.47972,0.000189757,0.000189757,0.000189757
41,11120.1,0.9829,1.13316,1.36594,0.19327,0.17568,0.14387,0.07638,2.24028,3.80978,2.57153,0.000173264,0.000173264,0.000173264
42,11334.2,0.92789,1.04408,1.32735,0.21795,0.22989,0.17445,0.08545,2.24458,3.64318,2.64596,0.000156771,0.000156771,0.000156771
43,11442,0.88619,0.9932,1.30982,0.15785,0.2319,0.15909,0.08301,2.29428,3.82752,2.61783,0.000140277,0.000140277,0.000140277
44,11508.4,0.84591,0.9414,1.26316,0.19123,0.24245,0.16735,0.09107,2.31907,3.68176,2.72347,0.000123784,0.000123784,0.000123784
45,11575,0.8264,0.89028,1.2496,0.21176,0.2032,0.15731,0.07858,2.27613,3.95398,2.63955,0.00010729,0.00010729,0.00010729
46,11641.8,0.79819,0.85229,1.22257,0.25038,0.16489,0.15782,0.07986,2.32698,3.96649,2.69874,9.0797e-05,9.0797e-05,9.0797e-05
47,11708.4,0.75856,0.79553,1.19719,0.18455,0.21601,0.1611,0.08142,2.34015,4.12524,2.70794,7.43036e-05,7.43036e-05,7.43036e-05
48,11775,0.73686,0.77769,1.17728,0.21401,0.20292,0.1602,0.08331,2.33155,4.10014,2.68274,5.78102e-05,5.78102e-05,5.78102e-05
49,11841.8,0.73095,0.77209,1.177,0.21372,0.21431,0.16554,0.08755,2.30423,4.24013,2.66182,4.13168e-05,4.13168e-05,4.13168e-05
50,11908.4,0.68574,0.70911,1.14684,0.18208,0.2253,0.16086,0.08468,2.35674,4.26477,2.71595,2.48234e-05,2.48234e-05,2.48234e-05
